Index,CPU Frequencies,GPU Frequencies,Mem Frequencies,Initialization Time,Allocation Time,Copy To Device Time,Kernel Time,Copy Back and Merge Time,Deallocation Time,Real Time,User Time,System Time,Starttime,Endtime,ActivePower,IdlePower
572,1200000.0,543000000.0,543000000.0,1461.0529999999999,8.494,880.823,2639.4359999999997,485.343,17.762999999999998,10458.0,4169.0,2291.0,11748565.0,11759047.0,5.247,2.999
573,1200000.0,543000000.0,633000000.0,1422.8570000000002,7.81,861.31,2332.242,462.64300000000003,17.179000000000002,9714.0,4062.0000000000014,2146.0,11759265.0,11769001.0,5.32,3.041
574,1200000.0,543000000.0,728000000.0,1396.601,7.497000000000001,843.768,2158.519,444.375,16.563,9180.0,3842.0,2179.0,11769203.0,11778403.0,5.754,3.1
575,1200000.0,543000000.0,825000000.0,1372.494,7.188,832.4580000000001,2021.626,438.81,16.134,8747.0,3795.0,2118.0,11778599.0,11787366.0,5.821,3.192
576,1200000.0,480000000.0,165000000.0,2094.823,17.15,1341.435,8114.5419999999995,879.4580000000001,31.427,24131.0,6677.0,3928.0,11787661.0,11811843.0,4.307,2.837
577,1200000.0,480000000.0,206000000.0,1905.065,13.796,1206.735,6364.880999999999,753.533,27.11,20085.0,5895.0,3328.0,11812264.0,11832392.0,4.342,2.832
578,1200000.0,480000000.0,275000000.0,1718.9979999999998,11.449000000000002,1079.609,4648.326,620.9730000000001,23.269000000000002,15673.0,5138.0,2907.0,11832746.0,11848453.0,4.427,2.858
579,1200000.0,480000000.0,413000000.0,1545.277,9.283,953.062,3199.301,524.871,19.641,11954.0,4466.0,2443.0,11848743.0,11860724.0,4.771,2.927
580,1200000.0,480000000.0,543000000.0,1463.654,8.314,900.4060000000001,2630.442,491.158,17.84,10364.0,4139.0,2296.0,11860963.0,11871351.0,4.977,3.004
581,1200000.0,480000000.0,633000000.0,1420.9820000000002,7.814,858.257,2358.064,467.065,17.065,9814.0,4027.0,2190.0,11871569.0,11881405.0,5.078,3.004
582,1200000.0,480000000.0,728000000.0,1395.1979999999999,7.4239999999999995,847.2739999999999,2243.415,451.55800000000005,16.645,9380.0,3869.0,2192.0,11881610.0,11891011.0,5.412,3.067
583,1200000.0,480000000.0,825000000.0,1372.704,7.189,844.423,2021.267,442.173,16.104,8849.0,3803.0,2132.0,11891205.0,11900074.0,5.354,3.099
584,1200000.0,420000000.0,165000000.0,2086.011,16.131,1355.7820000000002,8208.148000000001,888.415,31.219,24442.0,6567.0,3831.0,11900366.0,11924860.0,3.995,2.803
585,1200000.0,420000000.0,206000000.0,1901.244,13.769,1213.2839999999999,6282.908,751.7819999999999,27.474,20116.0,6019.0,3340.0,11925281.0,11945440.0,3.949,2.795
586,1200000.0,420000000.0,275000000.0,1719.7920000000001,11.607999999999999,1104.16,4617.146,636.177,24.279,15710.0,5208.0,2948.0,11945793.0,11961538.0,4.301,2.874
587,1200000.0,420000000.0,413000000.0,1545.172,9.376,925.5039999999999,3234.89,532.861,19.500999999999998,11964.0,4522.0,2421.0,11961829.0,11973820.0,4.533,2.915
588,1200000.0,420000000.0,543000000.0,1461.276,8.42,891.331,2618.927,487.12,17.967,10457.0,4147.0,2328.0,11974058.0,11984539.0,4.89,3.003
589,1200000.0,420000000.0,633000000.0,1423.8139999999999,7.905,867.1569999999999,2449.145,471.99300000000005,17.094,9908.0,3993.0,2247.0,11984760.0,11994689.0,4.987,3.121
590,1200000.0,420000000.0,728000000.0,1398.003,7.502999999999999,840.9060000000001,2288.624,453.11800000000005,16.611,9585.0,3784.0,2275.0,11994893.0,12004499.0,5.046,3.067
591,1200000.0,420000000.0,825000000.0,1376.382,7.191,829.5830000000001,2231.695,441.167,16.087,9258.0,3787.0,2142.0,12004693.0,12013970.0,5.252,3.087
592,1200000.0,350000000.0,165000000.0,2092.728,16.169,1370.469,8271.218,891.427,32.036,24741.0,6596.0,3908.0,12014263.0,12039056.0,3.802,2.794
593,1200000.0,350000000.0,206000000.0,1901.1070000000002,13.876,1229.313,6280.606,764.813,27.638,19606.0,5782.0,3470.0,12039483.0,12059132.0,3.918,2.832
594,1200000.0,350000000.0,275000000.0,1722.509,11.635,1098.4260000000002,4530.542,629.84,23.344,15727.0,5002.0,3092.0,12059492.0,12075254.0,4.033,2.831
595,1200000.0,350000000.0,413000000.0,1546.055,9.402000000000001,953.367,3265.245,525.175,19.805,12060.0,4483.0,2433.0,12075545.0,12087631.0,4.224,2.904
596,1200000.0,350000000.0,543000000.0,1459.507,8.387,893.28,2782.2459999999996,502.905,17.91,10861.0,4308.0,2282.0,12087870.0,12098755.0,4.539,2.955
597,1200000.0,350000000.0,633000000.0,1421.879,7.819,856.9,2589.619,462.454,17.114,10205.0,4053.0,2129.0,12098968.0,12109196.0,4.592,3.028
598,1200000.0,350000000.0,728000000.0,1396.5810000000001,7.419,836.757,2538.393,449.91,16.635,9978.0,3918.0,2176.0,12109401.0,12119399.0,4.797,3.094
599,1200000.0,350000000.0,825000000.0,1373.852,7.157,809.8389999999999,2495.585,431.639,16.063,9740.0,3686.0,2119.0,12119590.0,12129350.0,4.625,3.122
600,1200000.0,266000000.0,165000000.0,2082.098,16.18,1350.9260000000002,8217.026,884.742,31.113000000000003,24564.0,6621.0,3751.0,12129645.0,12154260.0,3.651,2.751
